Heuristic,Group,Trait sup (all) r,Trait sup (all) r2,Trait sup (all) n,Trait sup (fixed) r,Trait sup (fixed) r2,Trait sup (fixed) n,Trait sup (mix) r,Trait sup (mix) r2,Trait sup (mix) n,Cross-trait sup (all) r,Cross-trait sup (all) r2,Cross-trait sup (all) n,Gap (mix) r,Gap (mix) r2,Gap (mix) n
H1  Elicitation,Existing,0.3767,0.1419,264,0.3556,0.1265,132,0.4697,0.2206,132,-0.0150,0.0002,264,-0.1494,0.0223,132
H2  Logprob diff (PH),Existing,0.3239,0.1049,280,0.3893,0.1515,140,0.3235,0.1047,140,0.3239,0.1049,280,0.0379,0.0014,140
H3  Datapoint SVD PC1,Existing,0.4379,0.1918,160,0.4584,0.2102,80,0.4874,0.2376,80,0.2424,0.0587,160,-0.1290,0.0166,80
H4  Token SVD PC1,Existing,0.5562,0.3094,152,0.5645,0.3187,76,0.6321,0.3996,76,0.3219,0.1036,152,-0.1965,0.0386,76
H5  Emb dist neutral,Existing,0.1296,0.0168,284,0.0493,0.0024,142,0.2289,0.0524,142,0.1296,0.0168,284,-0.1818,0.0330,142
H6  Emb rephrase std,Existing,-0.2744,0.0753,284,-0.0883,0.0078,142,-0.4996,0.2496,142,-0.2744,0.0753,284,0.4148,0.1720,142
H7  Z-score composite,Existing,0.6059,0.3671,152,0.5415,0.2933,76,0.7398,0.5473,76,0.2941,0.0865,152,-0.3839,0.1473,76
H9a Emb cos cross,Cross-trait,-0.0611,0.0037,284,-0.0481,0.0023,142,-0.0845,0.0071,142,0.4719,0.2227,284,0.0390,0.0015,142
H9b SVD cross proj,Cross-trait,-0.2391,0.0572,264,-0.1780,0.0317,132,-0.3408,0.1162,132,0.2391,0.0572,264,0.1787,0.0319,132
H10 Tok SVD cross proj,Cross-trait,-0.1576,0.0248,264,-0.1948,0.0380,132,-0.1555,0.0242,132,0.1576,0.0248,264,-0.0182,0.0003,132
H11 Mean |tok diff|,Existing,0.3814,0.1455,264,0.5082,0.2582,132,0.4422,0.1955,132,0.3814,0.1455,264,0.0625,0.0039,132
H13 Mean sq tok diff,Existing,0.4181,0.1748,264,0.3977,0.1581,132,0.5571,0.3104,132,0.4181,0.1748,264,-0.1655,0.0274,132
H14 Mean signed tok diff,Existing,0.3556,0.1265,264,0.3543,0.1256,132,0.3568,0.1273,132,0.3556,0.1265,264,-0.0749,0.0056,132
HA2 Filter (tau=0.5),A: Step-1,0.3495,0.1221,264,0.3422,0.1171,132,0.3596,0.1293,132,0.3495,0.1221,264,-0.0855,0.0073,132
HA3 Top-25%,A: Step-1,0.3506,0.1229,264,0.3488,0.1217,132,0.3503,0.1227,132,0.3506,0.1229,264,-0.0743,0.0055,132
HA4 Grad magnitude,A: Step-1,0.3392,0.1151,264,0.5440,0.2960,132,0.3529,0.1246,132,0.3392,0.1151,264,0.1813,0.0329,132
HA5 Filter + grad,A: Step-1,0.3025,0.0915,264,0.4813,0.2316,132,0.3313,0.1098,132,0.3025,0.0915,264,0.1619,0.0262,132
HB1 Signal coherence,B: Cumulative,-0.0734,0.0054,264,-0.1628,0.0265,132,-0.0080,0.0001,132,-0.0734,0.0054,264,-0.1351,0.0183,132
HB2 Sim loss decay,B: Cumulative,0.3619,0.1310,264,0.5396,0.2912,132,0.2745,0.0754,132,0.3619,0.1310,264,0.2040,0.0416,132
HB3 Persistent loss frac,B: Cumulative,0.3487,0.1216,264,0.5271,0.2778,132,0.2580,0.0666,132,0.3487,0.1216,264,0.2092,0.0438,132
HB4 Strength x coherence,B: Cumulative,0.2585,0.0668,264,0.3127,0.0978,132,0.2610,0.0681,132,0.2585,0.0668,264,0.0181,0.0003,132
HB5 Effective rank,B: Cumulative,-0.1578,0.0249,264,0.0473,0.0022,132,-0.3721,0.1385,132,-0.1578,0.0249,264,0.4073,0.1659,132
HB6 Sim residual,B: Cumulative,0.3892,0.1515,264,0.5013,0.2513,132,0.3657,0.1338,132,0.3892,0.1515,264,0.0807,0.0065,132
